J0004.2+0843 1.0574 8.7274 0.0552 0.0530 -66.720 4.716 2762.56 3.5370E-14 2.6839E-10 2.9819E-12 0.79 2.0504 2.348479E-09 5.615372E-13 0.809 3.276579E-10 2.236252E-13 0.721 1.158211E-10 2.769362E-13 1.538 1.159556E-10 7.913922E-13 5.289 8.018802E-12 1.398439E-13 2.036 4.533168E+01 NULL
J0004.7-4740 1.1807 -47.6711 0.0553 0.0482 -40.920 14.520 722.60 2.1259E-12 6.9288E-10 9.1864E-12 1.84 2.4035 1.107527E-08 2.559024E-12 3.953 3.381972E-09 2.215826E-12 9.398 6.006909E-10 1.387941E-12 9.057 1.337396E-10 8.762454E-13 6.187 4.871773E-16 7.426467E-18 0.000 1.129327E+02 fsrq
J0006.2+0135 1.5718 1.5853 0.0603 0.0461 57.780 5.521 1807.75 9.7642E-14 2.9911E-10 3.4063E-12 0.17 2.1869 3.310498E-09 7.810623E-13 1.300 7.982680E-10 5.361931E-13 1.973 2.230967E-10 5.263632E-13 3.312 4.806778E-11 3.228691E-13 2.939 2.083808E-11 3.443539E-13 3.297 4.556625E+01 NULL
J0006.4+3825 1.6123 38.4183 0.1390 0.0875 32.360 10.546 496.53 6.1207E-12 6.0569E-10 1.0384E-11 2.28 2.6171 2.223714E-08 5.035585E-12 5.619 3.508210E-09 2.244264E-12 6.910 5.841618E-10 1.322830E-12 6.122 3.578529E-11 2.289248E-13 1.556 7.857734E-12 1.113410E-13 0.880 8.046250E+01 fsrq
J0006.6+4618 1.6512 46.3054 0.0875 0.0708 -79.000 4.606 1249.31 2.5640E-13 3.0950E-10 4.1601E-12 0.93 2.4173 1.799996E-08 4.153578E-12 3.639 1.307470E-09 8.553049E-13 2.496 1.874242E-10 4.324904E-13 2.215 3.080605E-11 2.015232E-13 1.776 3.411496E-11 5.175001E-13 3.401 4.881989E+01 NULL
J0007.0+7302 1.7656 73.0499 0.0043 0.0043 -67.230 288.746 913.71 7.5555E-11 6.4851E-08 4.2554E-10 22.65 1.2081 1.669932E-07 4.279375E-11 52.172 1.117426E-07 8.130162E-11 145.293 4.811507E-08 1.174087E-10 184.796 1.530001E-08 9.882704E-11 142.898 1.447499E-09 1.341146E-11 46.426 4.616860E+01 PSR
J0007.4+1742 1.8693 17.7110 0.1320 0.1044 -19.300 4.561 1239.58 2.1909E-13 2.7381E-10 3.3520E-12 0.80 2.3120 3.956717E-09 9.222902E-13 1.343 9.596328E-10 6.353415E-13 2.381 2.207068E-10 5.144560E-13 3.159 4.346911E-11 2.877947E-13 2.405 1.619875E-11 2.553051E-13 1.991 4.657109E+01 NULL
J0007.9+4006 1.9829 40.1068 0.0921 0.0736 -79.860 4.519 1504.62 1.5143E-13 3.0003E-10 3.5802E-12 0.98 2.2756 2.181086E-09 5.101858E-13 0.672 1.347015E-09 8.955478E-13 3.028 1.616049E-10 3.780159E-13 2.196 5.979105E-11 3.975140E-13 2.646 1.543867E-11 2.466469E-13 2.412 4.438959E+01 NULL
J0008.0+4713 2.0166 47.2281 0.0203 0.0183 -13.100 24.745 1875.71 5.6820E-13 1.9664E-09 2.1900E-11 2.51 2.0210 5.738390E-09 1.376070E-12 1.320 4.430369E-09 3.034206E-12 8.752 1.402677E-09 3.363629E-12 14.329 5.746051E-10 3.935271E-12 16.663 1.290559E-10 2.277583E-12 8.899 3.671347E+01 bll
J0008.3+1456 2.0881 14.9336 0.0881 0.0765 60.330 6.461 1148.47 3.8263E-13 4.1157E-10 4.8919E-12 1.57 2.2695 3.774538E-09 8.834328E-13 1.362 1.275262E-09 8.484346E-13 3.045 3.754770E-10 8.788059E-13 5.224 7.512207E-11 4.997890E-13 3.162 1.451423E-11 2.324064E-13 1.468 3.443969E+01 NULL
